"industry_raw","industry_code","industry_level","year","high_growth_enterprises"
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2022",0
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2023",0
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2024",0
"243 : Manufacture of other products of first processing of steel","243","group","2019",0
"243 : Manufacture of other products of first processing of steel","243","group","2020",0
"243 : Manufacture of other products of first processing of steel","243","group","2021",0
"243 : Manufacture of other products of first processing of steel","243","group","2022",0
"243 : Manufacture of other products of first processing of steel","243","group","2023",0
"243 : Manufacture of other products of first processing of steel","243","group","2024",5
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2019",5
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2020",0
