"industry_raw","industry_code","industry_level","year","deaths_of_new_enterprises"
"171 : Manufacture of pulp, paper and paperboard","171","group","2021",20
"171 : Manufacture of pulp, paper and paperboard","171","group","2022",35
"171 : Manufacture of pulp, paper and paperboard","171","group","2023",35
"171 : Manufacture of pulp, paper and paperboard","171","group","2024",25
"172 : Manufacture of articles of paper and paperboard","172","group","2019",85
"172 : Manufacture of articles of paper and paperboard","172","group","2020",75
"172 : Manufacture of articles of paper and paperboard","172","group","2021",65
"172 : Manufacture of articles of paper and paperboard","172","group","2022",80
"172 : Manufacture of articles of paper and paperboard","172","group","2023",85
"172 : Manufacture of articles of paper and paperboard","172","group","2024",110
"18 : Printing and reproduction of recorded media","18","division","2019",1150
"18 : Printing and reproduction of recorded media","18","division","2020",1000
"18 : Printing and reproduction of recorded media","18","division","2021",860
"18 : Printing and reproduction of recorded media","18","division","2022",1110
"18 : Printing and reproduction of recorded media","18","division","2023",880
"18 : Printing and reproduction of recorded media","18","division","2024",790
"181 : Printing and service activities related to printing","181","group","2019",1085
"181 : Printing and service activities related to printing","181","group","2020",940
"181 : Printing and service activities related to printing","181","group","2021",800
"181 : Printing and service activities related to printing","181","group","2022",1010
"181 : Printing and service activities related to printing","181","group","2023",810
"181 : Printing and service activities related to printing","181","group","2024",725
"182 : Reproduction of recorded media","182","group","2019",65
"182 : Reproduction of recorded media","182","group","2020",60
"182 : Reproduction of recorded media","182","group","2021",60
"182 : Reproduction of recorded media","182","group","2022",100
"182 : Reproduction of recorded media","182","group","2023",70
"182 : Reproduction of recorded media","182","group","2024",65
"19 : Manufacture of coke and refined petroleum products","19","division","2019",5
"19 : Manufacture of coke and refined petroleum products","19","division","2020",5
"19 : Manufacture of coke and refined petroleum products","19","division","2021",5
"19 : Manufacture of coke and refined petroleum products","19","division","2022",10
"19 : Manufacture of coke and refined petroleum products","19","division","2023",0
"19 : Manufacture of coke and refined petroleum products","19","division","2024",10
"191 : Manufacture of coke oven products","191","group","2019",0
"191 : Manufacture of coke oven products","191","group","2020",0
"191 : Manufacture of coke oven products","191","group","2021",0
"191 : Manufacture of coke oven products","191","group","2022",0
"191 : Manufacture of coke oven products","191","group","2023",0
"191 : Manufacture of coke oven products","191","group","2024",0
"192 : Manufacture of refined petroleum products","192","group","2019",5
"192 : Manufacture of refined petroleum products","192","group","2020",5
"192 : Manufacture of refined petroleum products","192","group","2021",5
"192 : Manufacture of refined petroleum products","192","group","2022",10
"192 : Manufacture of refined petroleum products","192","group","2023",0
"192 : Manufacture of refined petroleum products","192","group","2024",10
"20 : Manufacture of chemicals and chemical products","20","division","2019",255
"20 : Manufacture of chemicals and chemical products","20","division","2020",220
"20 : Manufacture of chemicals and chemical products","20","division","2021",220
"20 : Manufacture of chemicals and chemical products","20","division","2022",410
"20 : Manufacture of chemicals and chemical products","20","division","2023",430
"20 : Manufacture of chemicals and chemical products","20","division","2024",310
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2019",35
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2020",40
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2021",45
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2022",65
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2023",75
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2024",60
"202 : Manufacture of pesticides and other agrochemical products","202","group","2019",10
"202 : Manufacture of pesticides and other agrochemical products","202","group","2020",10
"202 : Manufacture of pesticides and other agrochemical products","202","group","2021",5
"202 : Manufacture of pesticides and other agrochemical products","202","group","2022",5
"202 : Manufacture of pesticides and other agrochemical products","202","group","2023",5
"202 : Manufacture of pesticides and other agrochemical products","202","group","2024",0
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2019",25
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2020",25
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2021",15
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2022",40
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2023",40
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2024",35
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2019",135
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2020",105
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2021",110
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2022",220
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2023",250
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2024",170
"205 : Manufacture of other chemical products","205","group","2019",50
"205 : Manufacture of other chemical products","205","group","2020",40
"205 : Manufacture of other chemical products","205","group","2021",45
