year,industry_raw,industry_code,industry_level,births,survival_of_1_year,percent_of_1_year,survival_of_2_year,percent_of_2_year,survival_of_3_year,percent_of_3_year,survival_of_4_year,percent_of_4_year,survival_of_5_year,percent_of_5_year
2019,303 : Manufacture of air and spacecraft and related machinery,303,group,65,60,92.3076923076923,40,61.5384615384615,30,46.1538461538462,25,38.4615384615385,15,23.0769230769231
2019,304 : Manufacture of military fighting vehicles,304,group,5,5,100,0,0,0,0,5,100,5,100
2019,309 : Manufacture of transport equipment n.e.c.,309,group,50,45,90,40,80,25,50,20,40,15,30
2019,31 : Manufacture of furniture,31,division,600,565,94.1666666666667,465,77.5,390,65,335,55.8333333333333,285,47.5
2019,310 : Manufacture of furniture,310,group,600,565,94.1666666666667,465,77.5,390,65,335,55.8333333333333,285,47.5
2019,32 : Other manufacturing,32,division,1460,1395,95.5479452054795,1090,74.6575342465753,515,35.2739726027397,440,30.1369863013699,400,27.3972602739726
2019,"321 : Manufacture of jewellery, bijouterie and related articles",321,group,160,150,93.75,125,78.125,100,62.5,90,56.25,80,50
2019,322 : Manufacture of musical instruments,322,group,15,15,100,15,100,15,100,10,66.6666666666667,10,66.6666666666667
2019,323 : Manufacture of sports goods,323,group,105,100,95.2380952380952,75,71.4285714285714,45,42.8571428571429,40,38.0952380952381,40,38.0952380952381
2019,324 : Manufacture of games and toys,324,group,85,80,94.1176470588235,65,76.4705882352941,55,64.7058823529412,45,52.9411764705882,35,41.1764705882353
2019,325 : Manufacture of medical and dental instruments and supplies,325,group,100,95,95,80,80,65,65,60,60,55,55
2019,329 : Other manufacturing n.e.c.,329,group,995,955,95.9798994974874,730,73.3668341708543,235,23.6180904522613,195,19.5979899497487,180,18.0904522613065
2019,33 : Repair and installation of machinery and equipment,33,division,2380,2265,95.1680672268908,1840,77.3109243697479,1350,56.7226890756302,1045,43.9075630252101,915,38.4453781512605
2019,"331 : Repair of fabricated metal products, machinery and equipment",331,group,2100,2000,95.2380952380952,1620,77.1428571428572,1165,55.4761904761905,880,41.9047619047619,760,36.1904761904762
2019,332 : Installation of industrial machinery and equipment,332,group,280,265,94.6428571428571,220,78.5714285714286,185,66.0714285714286,165,58.9285714285714,155,55.3571428571429
2019,"35 : Electricity, gas, steam and air conditioning supply",35,division,630,595,94.4444444444444,445,70.6349206349206,330,52.3809523809524,280,44.4444444444444,255,40.4761904761905
2019,"351 : Electric power generation, transmission and distribution",351,group,595,560,94.1176470588235,415,69.7478991596639,305,51.2605042016807,260,43.6974789915966,235,39.4957983193277
2019,352 : Manufacture of gas; distribution of gaseous fuels through mains,352,group,35,35,100,30,85.7142857142857,25,71.4285714285714,20,57.1428571428571,20,57.1428571428571
2019,353 : Steam and air conditioning supply,353,group,0,0,0,0,0,0,0,0,0,0,0
2019,"36 : Water collection, treatment and supply",36,division,5,5,100,5,100,5,100,0,0,0,0
2019,"360 : Water collection, treatment and supply",360,group,5,5,100,5,100,5,100,0,0,0,0
2019,37 : Sewerage,37,division,80,80,100,60,75,55,68.75,50,62.5,45,56.25
2019,370 : Sewerage,370,group,80,80,100,60,75,55,68.75,50,62.5,45,56.25
2019,"38 : Waste collection, treatment and disposal activities; materials recovery",38,division,630,595,94.4444444444444,480,76.1904761904762,380,60.3174603174603,330,52.3809523809524,285,45.2380952380952
2019,381 : Waste collection,381,group,365,345,94.5205479452055,285,78.0821917808219,225,61.6438356164384,200,54.7945205479452,170,46.5753424657534
2019,382 : Waste treatment and disposal,382,group,115,110,95.6521739130435,80,69.5652173913043,65,56.5217391304348,55,47.8260869565217,50,43.4782608695652
2019,383 : Materials recovery,383,group,150,140,93.3333333333333,115,76.6666666666667,90,60,75,50,65,43.3333333333333
2019,39 : Remediation activities and other waste management services.,39,division,190,185,97.3684210526316,160,84.2105263157895,120,63.1578947368421,100,52.6315789473684,90,47.3684210526316
2019,390 : Remediation activities and other waste management services,390,group,190,185,97.3684210526316,160,84.2105263157895,120,63.1578947368421,100,52.6315789473684,90,47.3684210526316
2019,41 : Construction of buildings,41,division,16175,15320,94.7140649149923,12025,74.3431221020093,9590,59.2890262751159,8035,49.6754250386399,6870,42.4729520865533
2019,411 : Development of building projects,411,group,6790,6385,94.0353460972018,4670,68.7776141384389,3540,52.1354933726068,2935,43.2253313696613,2505,36.8924889543446
2019,412 : Construction of residential and non-residential buildings,412,group,9385,8935,95.2051145444859,7355,78.3697389451252,6050,64.4645711241343,5100,54.3420351624933,4365,46.5103889184869
2019,42 : Civil engineering,42,division,4150,3860,93.0120481927711,2915,70.2409638554217,1950,46.9879518072289,1375,33.1325301204819,1130,27.2289156626506
2019,421 : Construction of roads and railways,421,group,2180,1985,91.0550458715596,1355,62.1559633027523,800,36.697247706422,490,22.4770642201835,380,17.4311926605505
