"industry_raw","industry_code","industry_level","year","births_of_new_enterprises"
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2024",65
"202 : Manufacture of pesticides and other agrochemical products","202","group","2019",10
"202 : Manufacture of pesticides and other agrochemical products","202","group","2020",15
"202 : Manufacture of pesticides and other agrochemical products","202","group","2021",10
"202 : Manufacture of pesticides and other agrochemical products","202","group","2022",5
"202 : Manufacture of pesticides and other agrochemical products","202","group","2023",5
"202 : Manufacture of pesticides and other agrochemical products","202","group","2024",5
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2019",30
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2020",35
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2021",35
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2022",50
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2023",35
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2024",35
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2019",160
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2020",230
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2021",285
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2022",250
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2023",125
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2024",130
"205 : Manufacture of other chemical products","205","group","2019",70
"205 : Manufacture of other chemical products","205","group","2020",60
"205 : Manufacture of other chemical products","205","group","2021",65
"205 : Manufacture of other chemical products","205","group","2022",95
"205 : Manufacture of other chemical products","205","group","2023",40
"205 : Manufacture of other chemical products","205","group","2024",35
"206 : Manufacture of man-made fibres","206","group","2019",0
"206 : Manufacture of man-made fibres","206","group","2020",0
"206 : Manufacture of man-made fibres","206","group","2021",0
"206 : Manufacture of man-made fibres","206","group","2022",0
"206 : Manufacture of man-made fibres","206","group","2023",0
"206 : Manufacture of man-made fibres","206","group","2024",0
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2019",90
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2020",100
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2021",85
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2022",85
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2023",55
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2024",55
"211 : Manufacture of basic pharmaceutical products","211","group","2019",35
"211 : Manufacture of basic pharmaceutical products","211","group","2020",55
"211 : Manufacture of basic pharmaceutical products","211","group","2021",30
"211 : Manufacture of basic pharmaceutical products","211","group","2022",40
"211 : Manufacture of basic pharmaceutical products","211","group","2023",30
"211 : Manufacture of basic pharmaceutical products","211","group","2024",35
"212 : Manufacture of pharmaceutical preparations","212","group","2019",55
"212 : Manufacture of pharmaceutical preparations","212","group","2020",45
"212 : Manufacture of pharmaceutical preparations","212","group","2021",55
"212 : Manufacture of pharmaceutical preparations","212","group","2022",45
"212 : Manufacture of pharmaceutical preparations","212","group","2023",25
"212 : Manufacture of pharmaceutical preparations","212","group","2024",20
"22 : Manufacture of rubber and plastic products","22","division","2019",280
"22 : Manufacture of rubber and plastic products","22","division","2020",325
"22 : Manufacture of rubber and plastic products","22","division","2021",295
"22 : Manufacture of rubber and plastic products","22","division","2022",255
"22 : Manufacture of rubber and plastic products","22","division","2023",205
"22 : Manufacture of rubber and plastic products","22","division","2024",330
"221 : Manufacture of rubber products","221","group","2019",25
"221 : Manufacture of rubber products","221","group","2020",25
"221 : Manufacture of rubber products","221","group","2021",35
"221 : Manufacture of rubber products","221","group","2022",30
"221 : Manufacture of rubber products","221","group","2023",20
"221 : Manufacture of rubber products","221","group","2024",140
"222 : Manufacture of plastics products","222","group","2019",255
"222 : Manufacture of plastics products","222","group","2020",300
"222 : Manufacture of plastics products","222","group","2021",260
"222 : Manufacture of plastics products","222","group","2022",225
"222 : Manufacture of plastics products","222","group","2023",185
"222 : Manufacture of plastics products","222","group","2024",190
"23 : Manufacture of other non-metallic mineral products","23","division","2019",310
"23 : Manufacture of other non-metallic mineral products","23","division","2020",310
"23 : Manufacture of other non-metallic mineral products","23","division","2021",385
"23 : Manufacture of other non-metallic mineral products","23","division","2022",680
"23 : Manufacture of other non-metallic mineral products","23","division","2023",360
"23 : Manufacture of other non-metallic mineral products","23","division","2024",355
"231 : Manufacture of glass and glass products","231","group","2019",50
"231 : Manufacture of glass and glass products","231","group","2020",40
"231 : Manufacture of glass and glass products","231","group","2021",40
"231 : Manufacture of glass and glass products","231","group","2022",60
"231 : Manufacture of glass and glass products","231","group","2023",40
"231 : Manufacture of glass and glass products","231","group","2024",40
"232 : Manufacture of refractory products","232","group","2019",5
"232 : Manufacture of refractory products","232","group","2020",10
"232 : Manufacture of refractory products","232","group","2021",5
"232 : Manufacture of refractory products","232","group","2022",10
"232 : Manufacture of refractory products","232","group","2023",0
"232 : Manufacture of refractory products","232","group","2024",5
"233 : Manufacture of clay building materials","233","group","2019",15
"233 : Manufacture of clay building materials","233","group","2020",30
"233 : Manufacture of clay building materials","233","group","2021",45
"233 : Manufacture of clay building materials","233","group","2022",115
"233 : Manufacture of clay building materials","233","group","2023",45
"233 : Manufacture of clay building materials","233","group","2024",30
"234 : Manufacture of other porcelain and ceramic products","234","group","2019",35
"234 : Manufacture of other porcelain and ceramic products","234","group","2020",35
"234 : Manufacture of other porcelain and ceramic products","234","group","2021",50
"234 : Manufacture of other porcelain and ceramic products","234","group","2022",50
"234 : Manufacture of other porcelain and ceramic products","234","group","2023",40
"234 : Manufacture of other porcelain and ceramic products","234","group","2024",55
"235 : Manufacture of cement, lime and plaster","235","group","2019",0
"235 : Manufacture of cement, lime and plaster","235","group","2020",0
"235 : Manufacture of cement, lime and plaster","235","group","2021",20
"235 : Manufacture of cement, lime and plaster","235","group","2022",0
"235 : Manufacture of cement, lime and plaster","235","group","2023",0
"235 : Manufacture of cement, lime and plaster","235","group","2024",0
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2019",105
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2020",95
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2021",100
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2022",270
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2023",120
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2024",75
"237 : Cutting, shaping and finishing of stone","237","group","2019",70
"237 : Cutting, shaping and finishing of stone","237","group","2020",80
"237 : Cutting, shaping and finishing of stone","237","group","2021",110
"237 : Cutting, shaping and finishing of stone","237","group","2022",155
"237 : Cutting, shaping and finishing of stone","237","group","2023",95
"237 : Cutting, shaping and finishing of stone","237","group","2024",135
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2019",30
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2020",20
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2021",15
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2022",20
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2023",20
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2024",15
"24 : Manufacture of basic metals","24","division","2019",205
"24 : Manufacture of basic metals","24","division","2020",185
"24 : Manufacture of basic metals","24","division","2021",175
"24 : Manufacture of basic metals","24","division","2022",200
"24 : Manufacture of basic metals","24","division","2023",155
"24 : Manufacture of basic metals","24","division","2024",175
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2019",115
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2020",95
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2021",100
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2022",85
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2023",85
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2024",75
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2019",35
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2020",35
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2021",25
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2022",40
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2023",35
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2024",45
"243 : Manufacture of other products of first processing of steel","243","group","2019",5
"243 : Manufacture of other products of first processing of steel","243","group","2020",5
"243 : Manufacture of other products of first processing of steel","243","group","2021",0
"243 : Manufacture of other products of first processing of steel","243","group","2022",5
"243 : Manufacture of other products of first processing of steel","243","group","2023",0
"243 : Manufacture of other products of first processing of steel","243","group","2024",5
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2019",30
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2020",30
