"industry_raw","industry_code","industry_level","year","active_enterprises_10plus_employees"
"211 : Manufacture of basic pharmaceutical products","211","group","2022",55
"211 : Manufacture of basic pharmaceutical products","211","group","2023",60
"211 : Manufacture of basic pharmaceutical products","211","group","2024",65
"212 : Manufacture of pharmaceutical preparations","212","group","2019",150
"212 : Manufacture of pharmaceutical preparations","212","group","2020",155
"212 : Manufacture of pharmaceutical preparations","212","group","2021",155
"212 : Manufacture of pharmaceutical preparations","212","group","2022",140
"212 : Manufacture of pharmaceutical preparations","212","group","2023",140
"212 : Manufacture of pharmaceutical preparations","212","group","2024",140
"22 : Manufacture of rubber and plastic products","22","division","2019",2260
"22 : Manufacture of rubber and plastic products","22","division","2020",2200
"22 : Manufacture of rubber and plastic products","22","division","2021",2165
"22 : Manufacture of rubber and plastic products","22","division","2022",2145
"22 : Manufacture of rubber and plastic products","22","division","2023",2090
"22 : Manufacture of rubber and plastic products","22","division","2024",2030
"221 : Manufacture of rubber products","221","group","2019",255
"221 : Manufacture of rubber products","221","group","2020",250
"221 : Manufacture of rubber products","221","group","2021",240
"221 : Manufacture of rubber products","221","group","2022",235
"221 : Manufacture of rubber products","221","group","2023",230
"221 : Manufacture of rubber products","221","group","2024",225
"222 : Manufacture of plastics products","222","group","2019",2005
"222 : Manufacture of plastics products","222","group","2020",1950
"222 : Manufacture of plastics products","222","group","2021",1925
"222 : Manufacture of plastics products","222","group","2022",1910
"222 : Manufacture of plastics products","222","group","2023",1860
"222 : Manufacture of plastics products","222","group","2024",1805
"23 : Manufacture of other non-metallic mineral products","23","division","2019",1015
"23 : Manufacture of other non-metallic mineral products","23","division","2020",1015
"23 : Manufacture of other non-metallic mineral products","23","division","2021",1025
"23 : Manufacture of other non-metallic mineral products","23","division","2022",1060
"23 : Manufacture of other non-metallic mineral products","23","division","2023",1060
"23 : Manufacture of other non-metallic mineral products","23","division","2024",1040
"231 : Manufacture of glass and glass products","231","group","2019",270
"231 : Manufacture of glass and glass products","231","group","2020",265
"231 : Manufacture of glass and glass products","231","group","2021",270
"231 : Manufacture of glass and glass products","231","group","2022",265
"231 : Manufacture of glass and glass products","231","group","2023",265
"231 : Manufacture of glass and glass products","231","group","2024",255
"232 : Manufacture of refractory products","232","group","2019",40
"232 : Manufacture of refractory products","232","group","2020",40
"232 : Manufacture of refractory products","232","group","2021",40
"232 : Manufacture of refractory products","232","group","2022",40
"232 : Manufacture of refractory products","232","group","2023",35
"232 : Manufacture of refractory products","232","group","2024",35
"233 : Manufacture of clay building materials","233","group","2019",30
"233 : Manufacture of clay building materials","233","group","2020",30
"233 : Manufacture of clay building materials","233","group","2021",35
"233 : Manufacture of clay building materials","233","group","2022",45
"233 : Manufacture of clay building materials","233","group","2023",45
"233 : Manufacture of clay building materials","233","group","2024",40
"234 : Manufacture of other porcelain and ceramic products","234","group","2019",50
"234 : Manufacture of other porcelain and ceramic products","234","group","2020",50
"234 : Manufacture of other porcelain and ceramic products","234","group","2021",45
"234 : Manufacture of other porcelain and ceramic products","234","group","2022",45
"234 : Manufacture of other porcelain and ceramic products","234","group","2023",55
"234 : Manufacture of other porcelain and ceramic products","234","group","2024",55
"235 : Manufacture of cement, lime and plaster","235","group","2019",10
"235 : Manufacture of cement, lime and plaster","235","group","2020",10
"235 : Manufacture of cement, lime and plaster","235","group","2021",10
"235 : Manufacture of cement, lime and plaster","235","group","2022",10
"235 : Manufacture of cement, lime and plaster","235","group","2023",10
"235 : Manufacture of cement, lime and plaster","235","group","2024",10
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2019",320
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2020",335
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2021",340
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2022",355
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2023",350
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2024",350
