industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
18 : Printing and reproduction of recorded media,18,Printing and reproduction of recorded media,2020,840,11945,1615,1000,93.4523809523809,67.8571428571429,50.5952380952381,43.452380952381,NA,785,570,425,365,NA,30
18 : Printing and reproduction of recorded media,18,Printing and reproduction of recorded media,2021,765,11680,1495,860,96.078431372549,73.202614379085,60.1307189542484,NA,NA,735,560,460,NA,NA,25
18 : Printing and reproduction of recorded media,18,Printing and reproduction of recorded media,2022,635,11310,1435,1110,92.9133858267717,70.0787401574803,NA,NA,NA,590,445,NA,NA,NA,25
18 : Printing and reproduction of recorded media,18,Printing and reproduction of recorded media,2023,605,10765,1360,880,94.2148760330578,NA,NA,NA,NA,570,NA,NA,NA,NA,20
19 : Manufacture of coke and refined petroleum products,19,Manufacture of coke and refined petroleum products,2019,5,100,45,5,100,0,0,0,0,5,0,0,0,0,0
19 : Manufacture of coke and refined petroleum products,19,Manufacture of coke and refined petroleum products,2020,5,95,40,5,100,100,100,0,NA,5,5,5,0,NA,0
19 : Manufacture of coke and refined petroleum products,19,Manufacture of coke and refined petroleum products,2021,15,120,40,5,100,66.6666666666667,66.6666666666667,NA,NA,15,10,10,NA,NA,0
19 : Manufacture of coke and refined petroleum products,19,Manufacture of coke and refined petroleum products,2022,0,100,40,10,0,0,NA,NA,NA,0,0,NA,NA,NA,0
19 : Manufacture of coke and refined petroleum products,19,Manufacture of coke and refined petroleum products,2023,5,90,45,0,100,NA,NA,NA,NA,5,NA,NA,NA,NA,0
20 : Manufacture of chemicals and chemical products,20,Manufacture of chemicals and chemical products,2019,350,3240,970,255,94.2857142857143,72.8571428571428,55.7142857142857,48.5714285714286,41.4285714285714,330,255,195,170,145,40
20 : Manufacture of chemicals and chemical products,20,Manufacture of chemicals and chemical products,2020,420,3415,990,220,92.8571428571429,75,51.1904761904762,42.8571428571429,NA,390,315,215,180,NA,40
20 : Manufacture of chemicals and chemical products,20,Manufacture of chemicals and chemical products,2021,480,3655,1005,220,94.7916666666667,66.6666666666667,48.9583333333333,NA,NA,455,320,235,NA,NA,50
20 : Manufacture of chemicals and chemical products,20,Manufacture of chemicals and chemical products,2022,490,3850,990,410,86.734693877551,53.0612244897959,NA,NA,NA,425,260,NA,NA,NA,40
20 : Manufacture of chemicals and chemical products,20,Manufacture of chemicals and chemical products,2023,270,3710,995,430,88.8888888888889,NA,NA,NA,NA,240,NA,NA,NA,NA,50
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2019,90,725,200,55,94.4444444444444,72.2222222222222,55.5555555555556,50,38.8888888888889,85,65,50,45,35,15
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2020,100,755,210,50,100,75,50,45,NA,100,75,50,45,NA,10
